# MsuH m_ini logL logTe M_ass b_ass y_ass m_app b-y dist abs_dist ID_parent age_parent
0.17 1.64105 0.864 3.8769 2.562 2.73 2.544 2.34279392931 0.188885384615 -9.0024 9.0024 3148523918.0 0.4005541
-0.45 1.20915 0.573 3.8474 3.352 3.577 3.335 5.65429198284 0.251132820513 -28.4944 28.4944 2073767273.0 1.835199
0.28 1.30099 0.471 3.7979 3.58 3.907 3.561 7.46400989964 0.364663846154 -58.2312 58.2312 3151013598.0 2.181589
-1.42 0.75212 0.183 3.7996 4.422 4.736 4.406 7.18003680003 0.341231666667 -35.0428 35.0428 1002070335.0 12.47896
0.0 0.76685 -0.594 3.6872 6.565 7.09 6.519 7.5712456887 0.576057532051 15.7795 15.7795 3149570649.0 4.133018
-0.55 1.03018 0.368 3.8187 3.89 4.168 3.873 5.89079246943 0.30296224359 24.8422 24.8422 1003301688.0 4.042593
-1.42 0.78842 0.476 3.7964 3.687 4.003 3.671 7.00016969886 0.346436794872 -45.0428 45.0428 1002070335.0 12.47896
0.0 1.57521 0.818 3.8852 2.694 2.847 2.676 4.63328110468 0.178742307692 -24.156 24.156 2077227004.0 0.1546111
0.11 0.97277 -0.104 3.7509 5.102 5.518 5.08 7.40417616935 0.447132339744 28.4929 28.4929 3149241640.0 3.86168
0.28 1.40088 0.568 3.8178 3.318 3.605 3.3 7.27796487719 0.324310288462 60.2481 60.2481 3149491563.0 1.260931
0.64 1.378 0.468 3.7992 3.562 3.895 3.543 7.15797776302 0.368398653846 -51.1638 51.1638 3147651143.0 0.8847522
-0.14 0.8061 -0.465 3.7147 6.118 6.592 6.088 2.91214595129 0.50473150641 -2.2823 2.2823 3150876129.0 1.821445
0.56 1.18939 0.155 3.7719 4.392 4.783 4.371 5.11092035522 0.416434679487 13.8362 13.8362 3147651143.0 0.8847522
0.22 1.31703 0.527 3.8014 3.439 3.756 3.42 7.32699247824 0.354697211538 58.3353 58.3353 4224751642.0 2.640219
0.33 2.64706 1.87 3.9016 0.017 0.102 0.001 5.19361643429 0.134149967949 103.4279 103.4279 3149559205.0 0.5633465
-0.86 1.17186 0.565 3.8754 3.391 3.568 3.375 6.53399053962 0.206369070513 -41.7115 41.7115 1002345207.0 1.194399
-0.25 0.89251 -0.152 3.7608 5.222 5.612 5.202 7.50208507087 0.419041089744 28.2082 28.2082 2074785179.0 3.624348
-0.31 1.37536 0.854 3.8496 2.627 2.843 2.61 7.31654926616 0.259734551282 83.4118 83.4118 2073747617.0 1.928939
-0.04 1.00202 0.022 3.7715 4.76 5.133 4.74 6.87900622646 0.401402403846 -26.2155 26.2155 1002069845.0 3.582401
0.4 2.19756 1.492 3.8572 0.956 1.15 0.938 7.14528704559 0.263473461538 160.5972 160.5972 2077300802.0 0.8238834
0.17 1.38169 0.66 3.7983 3.111 3.432 3.092 6.99899247824 0.358697211538 58.3353 58.3353 4224751642.0 2.640219
-0.25 1.12058 0.527 3.8073 3.472 3.771 3.454 5.80064842762 0.326242884615 -28.8378 28.8378 2074065822.0 4.36671
0.56 2.77995 1.757 4.0122 0.649 0.626 0.635 7.30050862918 0.0536675320513 195.5227 195.5227 3149135169.0 0.1615215
-0.1 1.45162 0.833 3.8538 2.663 2.873 2.646 7.57585001279 0.256512083333 92.0777 92.0777 3150509427.0 1.608833
0.51 0.74181 -0.813 3.6438 7.432 8.083 7.362 7.57558369263 0.7244075 10.6314 10.6314 4223983819.0 3.049703
-0.45 1.25472 2.526 5.0511 5.079 4.921 5.074 5.36655980515 -0.149360128205 11.3564 11.3564 3147586406.0 3.828765
0.4 2.19937 1.417 3.9232 1.185 1.246 1.169 5.19495303141 0.0967475641026 61.6124 61.6124 3149383842.0 0.5560317
0.07 1.96068 1.266 3.9396 1.624 1.669 1.608 7.42131695161 0.104469423077 135.6246 135.6246 4221958665.0 0.4527079
0.4 1.24867 0.259 3.7877 4.117 4.469 4.098 1.77318409726 0.372087435897 3.3928 3.3928 4222211748.0 0.6055005
0.44 1.73762 0.879 3.8719 2.5 2.68 2.482 7.53905075443 0.229202211538 97.3509 97.3509 3150637197.0 0.01388184
0.22 0.91024 -0.342 3.7186 5.789 6.27 5.758 5.58762051118 0.514909070513 9.0763 9.0763 3148476751.0 2.203861
0.22 1.60742 0.897 3.8427 2.479 2.712 2.461 7.40261002576 0.280652692308 92.5164 92.5164 4221980341.0 1.25974
-0.04 1.55112 1.002 3.8161 2.25 2.53 2.233 5.48444367749 0.310932852564 43.4705 43.4705 2075665379.0 1.966751
0.28 1.71402 1.015 3.8405 2.178 2.414 2.16 7.41369205888 0.288021570513 106.1473 106.1473 3148499037.0 1.27998
0.69 1.52709 0.642 3.8213 3.099 3.385 3.08 5.85866074215 0.316239935897 35.0686 35.0686 4221766152.0 0.3490548
0.64 1.95397 1.136 3.887 1.84 1.984 1.822 4.68747428041 0.173696121795 -36.4919 36.4919 4222745860.0 0.4840087
0.17 1.26654 0.35 3.8045 3.884 4.196 3.866 -2.84514792347 0.330144519231 -0.4509 0.4509 2074765096.0 0.5094183
-0.1 1.48699 0.896 3.854 2.504 2.712 2.487 7.01572143411 0.249704391026 77.0777 77.0777 3150509427.0 1.608833
0.33 1.36476 0.542 3.8044 3.39 3.705 3.372 6.09713423578 0.343975480769 34.2435 34.2435 3148097266.0 1.983204
0.4 1.78498 0.947 3.8849 2.336 2.488 2.318 6.82528501544 0.194459070513 -76.3123 76.3123 4223160571.0 0.1257204
0.4 1.08945 -0.089 3.7479 5.06 5.495 5.037 7.2722090083 0.466766314103 27.3509 27.3509 3150637197.0 0.01388184
0.0 1.28728 0.554 3.8174 3.376 3.659 3.358 6.29229300211 0.313066314103 37.6469 37.6469 1002836227.0 2.329279
-0.41 1.29458 0.793 3.8402 2.796 3.03 2.779 6.22634197791 0.266220064103 47.4866 47.4866 1003446343.0 2.412658
-0.35 0.87244 -0.167 3.7634 5.262 5.645 5.242 4.11983382851 0.40488900641 -5.8937 5.8937 2076976037.0 3.421396
0.22 1.24678 0.602 3.7715 3.29 3.671 3.27 5.58406973203 0.41009875 28.3881 28.3881 3149131140.0 4.963294
-0.31 1.47164 0.971 3.8768 2.323 2.486 2.306 0.272047578479 0.181244166667 3.8818 3.8818 1000056141.0 1.660978
0.4 1.40908 0.544 3.8124 3.374 3.674 3.355 6.69925755162 0.333515737179 45.2891 45.2891 4221567561.0 1.073813
-0.35 0.83091 -0.267 3.7501 5.532 5.939 5.511 2.57677866576 0.428820897436 2.5612 2.5612 2075731423.0 4.034462
0.07 1.54177 0.861 3.8539 2.579 2.789 2.562 4.57715626899 0.234952692308 24.8124 24.8124 2076533954.0 1.177682
0.33 1.05033 -0.11 3.748 5.116 5.548 5.093 6.60327662851 0.461300416667 -19.6573 19.6573 3149645039.0 0.4776539
-0.31 0.61587 -0.964 3.6362 7.809 8.457 7.746 6.72982929746 0.712944455128 6.0667 6.0667 1001509229.0 2.314667
-0.41 0.73532 -0.502 3.7178 6.205 6.667 6.178 6.93303047269 0.493453205128 -13.894 13.894 1002567415.0 4.805447
-0.1 1.60164 0.876 3.9075 2.565 2.676 2.548 6.80639693735 0.149900737179 68.3303 68.3303 2075054228.0 0.09062297
0.4 2.35019 1.47 3.9686 1.183 1.192 1.168 6.55866345353 0.0601747115385 112.8651 112.8651 3148868524.0 0.2076398
-0.1 0.79663 -0.515 3.7058 6.277 6.766 6.242 6.36920739728 0.527328205128 -10.384 10.384 3147517207.0 1.18819
0.44 3.51821 2.164 4.0949 0.059 0.009 0.046 6.67182201345 0.0246509294872 192.3509 192.3509 3150637197.0 0.01388184
0.28 1.70194 0.92 3.8726 2.409 2.584 2.391 6.53239963326 0.213775961538 64.821 64.821 3148341812.0 0.5791913
-0.21 1.22038 0.923 3.7032 2.679 3.203 2.656 5.1948167163 0.557063044872 -31.3967 31.3967 1001871037.0 4.305753
0.07 2.14654 1.638 3.8545 0.61 0.802 0.592 5.6089018389 0.240654711538 95.6427 95.6427 3150391644.0 0.9279151
0.0 1.50562 0.825 3.8596 2.675 2.874 2.657 6.23087285234 0.233105352564 -50.2487 50.2487 2076793744.0 1.237102
0.07 0.90873 -0.276 3.7325 5.582 6.031 5.556 7.2789125972 0.481932692308 -21.63 21.63 3149250268.0 2.795801
0.44 1.25136 0.207 3.7794 4.257 4.628 4.237 5.72850372682 0.397255224359 19.5163 19.5163 3150279021.0 0.004461898
-1.76 0.80081 -0.012 3.8065 4.926 5.234 4.911 7.43182432562 0.3330175 31.2546 31.2546 1001537252.0 5.062316
-0.1 0.95698 -0.131 3.7603 5.165 5.558 5.144 4.01146247092 0.415879166667 -5.863 5.863 2077306088.0 1.034226
0.07 0.84252 -0.454 3.7076 6.115 6.607 6.08 5.78031875234 0.529736538462 -8.538 8.538 3149094157.0 1.969533
0.11 2.46506 1.762 3.958 0.431 0.446 0.416 6.68979656963 0.0830291346154 -165.4509 165.4509 2074765096.0 0.5094183
0.0 1.46741 0.73 3.8567 2.917 3.124 2.9 7.52500466369 0.249784391026 -80.4473 80.4473 3150140493.0 0.6405437
-0.14 0.77304 -0.575 3.6996 6.451 6.948 6.414 7.5492103457 0.539274679487 -16.457 16.457 2074957961.0 0.3674578
0.0 1.08827 0.156 3.7856 4.404 4.75 4.385 6.93761602213 0.375144679487 31.6514 31.6514 2076978196.0 2.279698
-0.14 0.70956 -0.728 3.6709 6.992 7.542 6.938 6.85351797044 0.606994198718 -9.3419 9.3419 3148175304.0 2.284044
0.07 1.85674 1.233 3.8958 1.638 1.759 1.621 5.63832456719 0.157662596154 -61.3473 61.3473 2075450640.0 0.8905441
0.17 1.32358 0.555 3.8039 3.371 3.682 3.352 -0.496896420121 0.330539423077 -1.683 1.683 2074929989.0 2.458315
